分類	No.	カテゴリ	口コミ本文	出典サイト	出典URL
ポジティブ	22	総合満足度	アンケートの結果、半数以上の方が「不満な点はなし」と回答。一条工務店の満足度は5点満点中4.09点。	わたしの家づくり	https://watashino-iedukuri.com/report/reviews/
ポジティブ	23	総合満足度	一条工務店をやめれば良かったと後悔したことは一度もない。住んでよかった、家づくりに後悔はないと感じている。	mii-i-smart	https://mii-i-smart.com/ichijo-hyoban-bad/
ポジティブ	24	外観・内装	完成後、近隣からも素敵な外観といわれ嬉しかった。一条工務店らしいシンプルだけど趣のある希望通りの住宅ができた。	オリコン顧客満足度	https://life.oricon.co.jp/rank-house-maker/company/ichijo/
ポジティブ	25	外観・内装	壁紙は選択肢が非常にたくさんあって良かった。外観もスタイリッシュで気に入っている。	オリコン顧客満足度	https://life.oricon.co.jp/rank-house-maker/company/ichijo/
ポジティブ	26	コスパ	見栄え＜＜＜＜値段 なので大満足！！うちの営業さんはこの方で良かったなと思える方。	X（旧Twitter）	https://x.com/wxxrautrpphgdcg
ポジティブ	27	コスパ	金額については一切値引きはしないという姿勢なので、分かりやすくて良かった。	onetop不動産マガジン	https://onetop-japan.jp/real-estate/ichijo-reputation/
ポジティブ	28	耐震性	一条工務店は標準仕様で耐震等級3（最高等級）に対応。創業当初から耐震にはかなり力を入れている。	base-on	https://base-on.com/media/ichijokoumuten-reputation/
ポジティブ	29	ハグミー	全館床暖房と高気密高断熱で超快適。風呂上がりに家族全員パンツ1枚でアイス食べてます。ハグミー約29坪の平屋を選び、住みやすい家を作っていくのも楽しみ。	X（旧Twitter）	https://x.com/kanichikunhouse
ポジティブ	30	太陽光	10年でほぼ元が取れ、11年目以降は利益だけが積み上がり、電気代削減効果は30年間ずっと続く。導入率94.2%の実績。	一条ライフ	https://www.ichijo-life.info/solarpower-regret/
ネガティブ	1	営業対応	対応が強引で早く契約を決めるよう急かされた。説明不足で細かい条件を確認せずに契約を進められた。担当者のスキル差があり、対応の良し悪しにばらつきがある。	リアマネ	https://fantas-tech.co.jp/media/ichijo/
ネガティブ	2	営業対応	営業担当から「そこは富裕層が住むところ」「あなたの希望は、田舎の人が東京タワーの横に住みたいと言っているようなものだ」と言われ、信頼できないと感じて取引をやめた。	THE ROOM TOUR	https://the-room-tour.com/ichijokomuten/
ネガティブ	3	営業対応	営業、営業所長、マネージャー共に意見も対応も異なり、無責任な発言を連発します。契約書にサインしてから様々な決定事項を提示し、契約する前は平気で嘘をつきます。	みん評	https://minhyo.jp/ichijokoumuten
ネガティブ	4	営業対応	仮契約をゴリ押しされた。「キャンセルしてもいいから、仮契約を」と一条側の都合で一方的に決断時期の変更を迫られた。	わたしの家づくり	https://watashino-iedukuri.com/report/disadvantages/
ネガティブ	5	営業対応	性能が良いということが1番の決め手だったが、営業マンとその上司がひどすぎた。	みん評	https://minhyo.jp/ichijokoumuten
ネガティブ	6	営業対応	知識不足で質問に対する回答が曖昧。提案力不足でプロとしての提案がない。レスポンスが遅い。	おうちスタイルナビ	https://tenmaruco.xsrv.jp/ichijyo-regret
ネガティブ	7	設計自由度	現在建築中ですが、後悔しかありません。一条さんにお願いしたことで、今まで実現したことは何ひとつない。設計士さんは仮契約後しか出てこないので、自由度が異常に低いことが仮契約後にやっとわかってきます。	みん評	https://minhyo.jp/ichijokoumuten
ネガティブ	8	設計自由度	客目線ではなく一条が作りやすい家を提案。注文住宅ではありません。建売と変わらない間取りしかできません。	みん評	https://minhyo.jp/ichijokoumuten
ネガティブ	9	設計自由度	スキップフロア（中二階）や大開口の窓は一条工務店で叶えることができない。総2階構造が基本で、窓のサイズや配置に制約がある。	わたしの家づくり	https://watashino-iedukuri.com/report/disadvantages/
ネガティブ	10	設計自由度	デザインにバリエーションがない。みんな同じになる。パッと見て一条だとわかる外壁タイル。住宅業界のユニクロと表現される。	mii-i-smart	https://mii-i-smart.com/ichijo-hyoban-bad/
ネガティブ	11	設計自由度	和室の小上がりを提案してくれなかったなど、設計士の提案力が低い。	つばめ商店	https://tsubameshouten.com/ichijo-stop/
ネガティブ	12	施工品質	引渡し前の施主検査から30箇所以上のキズ、ミス、不良のオンパレード。窓ガラスのキズや棚の内部のキズなど設置の雑さが産んだキズばかり。	みん評	https://minhyo.jp/ichijokoumuten
ネガティブ	13	施工品質	壁紙、床の施工が悪すぎ！ショールームを案内された時は綺麗だったが、自分の家を建ててみると仕上がりに疑問を感じる箇所ばかり。結局プロの内装業者に張り替えてもらった。	みん評	https://minhyo.jp/ichijokoumuten
ネガティブ	14	施工品質	照明の位置が図面と大きくずれていたにもかかわらず「多少の誤差」とされた。打ち合わせ時の説明不足による食い違いが多い。	リアマネ	https://fantas-tech.co.jp/media/ichijo/
ネガティブ	15	施工品質	気密測定で数値が悪すぎて1日目の測定は測定不能。さらに床暖房の主の配管を逆に接続していて暖まる訳がない。	みん評	https://minhyo.jp/ichijokoumuten
ネガティブ	16	施工品質	工事スケジュールの管理がずさんで、朝めっちゃ早く工事してる割には昼には引き上げ。バイクを傷つけられたが「証拠がないから何も出来ません」と言われた。（2024年11月）	みん評	https://minhyo.jp/ichijokoumuten
ネガティブ	17	施工品質	エアコンの取付ミスで毎日虫が入ってきてたけど、ミスを認めずその後の点検にも来ない。（2024年12月）	THE ROOM TOUR	https://the-room-tour.com/ichijokomuten/
ネガティブ	18	設計ミス	打ち合わせ中の図面作成はフィリピンの作業者によって行われており、コミュニケーションが取りづらく間違いの原因になっている。図面の間違いに気付かず進み、施工中に指摘しても「承諾しましたよね？」で終わり。	一条工務店とイツキのブログ	https://www.smart-daisuke15.com/archives/3974
ネガティブ	19	アフター	アフターフォローがなってなさすぎる。連絡もこず、こちらから催促の電話をしても既に2週間経過。音沙汰なし。早急に対処してほしいとお願いしていますが、それも1ヶ月近く放置された。	THE ROOM TOUR	https://the-room-tour.com/ichijokomuten-aftersupport/
ネガティブ	20	アフター	担当営業がいなくなると全くフォローが有りません。連絡すると今度はもう保証期間が過ぎてるので、と全く相手にしてくれません。	みん評	https://minhyo.jp/ichijokoumuten
ネガティブ	21	アフター	13年ほどしか経ってないのにあちこち壊れる。アフターフォローはないに等しいです。雨漏りしても仕方ないと言ってお帰りになった。	みん評	https://minhyo.jp/ichijokoumuten
ネガティブ	22	アフター	エアコンが3年も経たずに故障し、当時の営業に連絡しても無視された。	X（旧Twitter）	https://x.com/msfm_msfm
ネガティブ	23	アフター	噂の通り、アフターの対応は貧弱過ぎる。本社が傲慢経営をしているようにしか見えない。	みん評	https://minhyo.jp/ichijokoumuten?page=28
ネガティブ	24	アフター	家の性能は確かに良いが、営業マンと現場監督が最悪。売るまで必死で売ったら終わり。	みん評	https://minhyo.jp/ichijokoumuten
ネガティブ	25	費用	確認した上で費用が掛からないとなっていた工事費項目を工事始まってから請求された。本社からの通達の一点張りで話にならない。時間巻き戻せるなら契約する前に戻したいくらい気持ちは落ち込んでいます。	みん評	https://minhyo.jp/ichijokoumuten
ネガティブ	26	費用	オプション含め、その他諸経費合わせると結構金額が上がり、建物代はトータル3,500万円ぐらいかかった。値引きなど一切ないので、高いなと思った。	リアマネ	https://fantas-tech.co.jp/media/ichijo/
ネガティブ	27	費用	デザイン等素敵だと感じましたが、お値段が予定より大幅に高くなってしまい諦めてしまいました。（建物予算2,500万円）	onetop不動産マガジン	https://onetop-japan.jp/real-estate/ichijo-reputation/
ネガティブ	28	費用	意外と高い。オプションつけるとほぼセキスイ価格。	家語	https://iegatari.com/ichijo/
ネガティブ	29	費用	価格設定が非常に複雑で透明性がない。担当者に予算を伝えても出てきた見積もりは伝えた予算を平気でオーバーしていた。	つばめ商店	https://tsubameshouten.com/ichijo-stop/
ネガティブ	30	仮契約	100万円の仮契約金を「とりあえず」で支払うリスクがある。仮契約しないと間取りを書いてくれない。打ち合わせで出来ると言っていた事が次の打ち合わせでは出来ないなど、設計士の知識が曖昧。	マイナビニュース	https://news.mynavi.jp/real-estate-assessment/44360
