No.	正式名称（運営会社）	一般的な呼び方（サービス名）	公式URL	サービス内容	提供形態	対象エリア	対象事業者
16	みずほファクター株式会社	みずほファクター	https://www.mizuho-factor.co.jp/	みずほフィナンシャルグループの債権回収・ファクタリング会社。回収保証、電子債権決済、債権流動化の3サービスを提供。国内・国際ファクタリング対応。数千万円～数億円規模の大口取引中心。	3社間ファクタリング（回収保証・債権流動化・国際ファクタリング）	全国対応（東京都千代田区に本社）	大企業・中堅企業
17	三菱UFJファクター株式会社	三菱UFJファクター	https://www.muf.bk.mufg.jp/	三菱UFJ銀行子会社。収納代行・集金代行・ファクタリングサービスを提供。診療・調剤報酬ファクタリングにも対応。大手銀行系の高い信頼性。	3社間ファクタリング（収納代行・集金代行・医療債権対応）	全国対応（東京都千代田区に本社）	大企業・中堅企業・医療機関
18	株式会社アレシア	ベストペイ（BESTPAY）	https://best-pay.jp/	注文書（発注書）ファクタリング専門。受注段階で案件を資金化可能。手数料5%～。最大180日後入金予定の発注書も買取可能。Tranzax社の監修・技術提供。	注文書ファクタリング（2社間）	全国対応（東京都新宿区に本社）	法人（100万円以上の受注案件）
19	株式会社インターテック	えんナビ	https://ennavi.tokyo/	24時間365日受付対応。手数料業界最低水準。ノンリコース契約。最短1日入金。買取額50万円～。建設業・土木業・運送業・卸売業の利用が多い。	2社間ファクタリング、オンライン対応	全国対応（東京都中央区に本社）	法人・個人事業主（建設・土木・運送・卸売業に強み）
20	Dual Life Partners株式会社	PAYTODAY（ペイトゥデイ）	https://paytoday.jp/	独自AI審査によるオンライン完結型。手数料1%～9.5%（業界最安水準）。最短30分入金。累計買取申込額150億円超。開業間もない事業者にも対応。	2社間ファクタリング、オンライン完結	全国対応（東京都港区に本社）	法人・個人事業主（全業種）
21	株式会社バイオン	バイオンのAIファクタリング	https://ai-factoring.jp/	独自AI審査により最短60分で入金。手数料一律10%。完全オンライン完結。来店・面談不要。累計申込件数1万件超。	2社間ファクタリング、オンライン完結	全国対応（東京都千代田区に本社）	法人・個人事業主（全業種）
22	株式会社ウィット	ウィット（WIT）	https://witservice.co.jp/	500万円以下の小口専門ファクタリング。非対面契約のパイオニア。全国対応でオンライン完結。中小企業・個人事業主の少額資金調達に特化。	2社間ファクタリング、非対面・オンライン完結	全国対応（東京都品川区に本社）	法人・個人事業主（小口資金調達向け）
23	株式会社ウィット	けんせつくん	https://xn--y8jd4aybzqd.jp/	建設業界専門のファクタリング。最短2時間入金。手数料2%～。注文書での対応も可能（工事着工前から資金調達可能）。建設業に精通したスタッフが在籍。	2社間ファクタリング（注文書対応あり）	全国対応（東京都品川区に本社）	建設業（法人・個人事業主）
24	株式会社トラストゲートウェイ	トラストゲートウェイ	https://trustgateway.co.jp/	2017年創業の九州・関西エリアに強みを持つファクタリング会社。手数料1.5%～9.5%。買取額10万円～5,000万円。最短即日入金（5時間の実績）。クラウド契約対応。	2社間・3社間ファクタリング、クラウド契約対応	九州・関西中心（福岡市に本社、全国対応も可能）	法人・個人事業主（建設・運送・人材派遣・IT等）
25	株式会社西日本ファクター	西日本ファクター	https://nishinihonfactor.jp/	福岡・九州エリア密着型のファクタリング会社。手数料2.8%～。完全非対面契約可能。コンサルティング業務も実施。	2社間・3社間ファクタリング、非対面契約対応	九州・関西エリア（福岡市に本社）	法人・個人事業主（西日本の事業者）
26	株式会社ラインオフィスサービス	ジャパンマネジメント	https://www.japan-management.com/	福岡・東京に拠点。手数料3%～20%。買取額20万円～5,000万円。最短即日入金。スタッフの出張対応あり。診療報酬・介護報酬・クレジット債権にも対応。	2社間・3社間ファクタリング、対面（出張対応あり）	全国対応（福岡本店・東京支店）	法人・個人事業主（医療・介護を含む全業種）
27	株式会社インフォマート × GMOペイメントゲートウェイ株式会社	電子請求書早払い	https://www.infomart.co.jp/btobfinance-hayabarai/	東証プライム上場2社の共同運営。手数料1%～6%（業界最安水準）。電子請求書をオンラインで早期資金化。買取額最大1億円。最短2営業日入金。	2社間ファクタリング、オンライン完結	全国対応	法人（インフォマート利用企業）
28	アネックス株式会社	事業資金エージェント	https://js-agent.com/	2015年創業のスピード特化型。最短3時間入金。買取額10万円～2億円。手数料1.5%～20%。顧客満足度95%。幅広い業種の売掛債権に対応。	2社間・3社間ファクタリング、オンライン対応	全国対応（東京都港区に本社）	法人・個人事業主（全業種）
29	株式会社ネクストワン	ネクストワン（NextOne）	https://next1-one.jp/	元銀行員・元ノンバンク社員が在籍。手数料1.5%～10%。最短翌日入金。資金調達成功率96%。無料経営コンサルティング付き。介護報酬・診療報酬にも対応。	2社間・3社間ファクタリング、オンライン対応	全国対応（東京都千代田区に本社）	法人（介護・医療含む）
30	MSFJ株式会社	MSFJ	https://msfj.co.jp/	クイックファクタリングとプレミアムファクタリングの2プラン。手数料1.8%～。個人事業主専用プラン（10万～500万円、手数料3.8%～9.8%）あり。最短即日入金。	2社間ファクタリング、オンライン対応	全国対応（東京都港区に本社）	法人・個人事業主（建設業向け斡旋サービスもあり）
31	株式会社hs1	うりかけ堂	https://urikakedo.co.jp/	審査通過率97%。手数料2%～。最短2時間入金。買取額30万円～。個人事業主の利用が約50%。オンライン契約対応。	2社間・3社間ファクタリング、オンライン対応	全国対応（東京都千代田区に本社）	法人・個人事業主（全業種）
32	株式会社SKO	ファクタリングのTRY（トライ）	https://factoring-try-sko.co.jp/	24時間365日電話受付。手数料3%～。最短2時間入金。累計買取総額200億円超。Zoom面談によるオンライン契約対応。資金調達コンサルティングも実施。	2社間ファクタリング、対面・オンライン	全国対応（東京都台東区に本社）	法人・個人事業主（全業種）
33	株式会社UPSIDER × 株式会社クレディセゾン	支払い.com（支払いドットコム）	https://shi-harai.com/	請求書の支払いをクレジットカード決済で最長60日先延ばし可能な資金繰り改善サービス。手数料一律4%。審査・書類不要。最短60秒で登録完了。VISA・Master・JCB・AMEX対応。	振込代行決済サービス（BPSP）	全国対応	法人・個人事業主・フリーランス
34	株式会社ウェーブネット	クイックマネジメント	https://quick-management.jp/	最短30分入金。500万円以下の小口債権に強み。オンライン取引対応。非対面契約可能。償還請求権なしのノンリコース型。買取額最大5,000万円。	2社間ファクタリング、オンライン対応	全国対応（東京都渋谷区に本社）	法人・個人事業主（小規模事業者中心）
35	株式会社スリートラスト	ファクタリングZERO	https://factoringzero.jp/	西日本地域密着型。10年以上の実績。個人事業主や少額取引にも柔軟に対応。	2社間ファクタリング	西日本中心（大阪に本社）	法人・個人事業主（西日本の事業者）
36	Terasu株式会社	テラス（TERASU）	https://terasu-factoring.com/	最短90分入金。手数料5%～。30秒簡単診断で資金調達可否を判定。完全オンライン対応。債務超過でも利用可能。	2社間ファクタリング、オンライン対応	全国対応（東京都新宿区に本社）	法人・個人事業主（全業種）
37	株式会社JTC	JTC	https://j-t-c.info/	名古屋本社の中部地方に強いファクタリング会社。東京・大阪にも営業所。資金繰り改善・事業資金調達の専門会社。全国対応可能。	2社間・3社間ファクタリング、対面中心	全国対応（名古屋本社、東京・大阪に営業所）	法人（中小企業中心）
38	有限会社MSJ INNOVATION	スマートファクター	https://smartfactor.jp/	2社間特化のファクタリング。2004年設立の実績。東京都新宿区に拠点。全国対応。	2社間ファクタリング、オンライン対応	全国対応（東京都新宿区に本社）	法人・個人事業主（全業種）
39	anew合同会社（OLTA × SBI新生銀行 共同出資）	anew（アニュー）クラウドファクタリング	https://www.anew-factoring.jp/	OLTAのクラウドファクタリング技術と新生銀行の資金力を組み合わせた法人向けサービス。手数料2%～9%。オンライン完結・最短即日。事務手数料なし。	2社間ファクタリング、オンライン完結	全国対応	法人
40	ファンドワン株式会社	ファンドワン	https://fund-1.jp/	東京都知事認可の正規貸金業者。売掛債権担保融資・不動産担保融資・車担保融資など多様な融資商品を取り扱い。ファクタリングではなく売掛債権担保ローン型。	売掛債権担保融資（ABL）、不動産担保融資	全国対応（東京都豊島区に本社）	法人（事業者向け）
41	株式会社日商保	日商保	https://jpcpg.co.jp/	敷金減額サービスやオフィス仲介が主業務。診療報酬ファクタリング（anewブランド）も提供。手数料0.8%（診療報酬）。	診療報酬ファクタリング、敷金減額サービス	全国対応（東京都港区に本社）	医療機関、オフィス・店舗事業者
42	株式会社フューチャーリンク	ファクタリングベスト	https://factoringbest.com/	法人向けファクタリング会社の一括見積もりサービス。最短1分で4社の相見積もりが取れる。審査通過率9割超の優良会社を厳選。利用無料。	一括査定・見積比較サービス	全国対応	法人
43	株式会社JPクレスト	Payなび（ペイナビ）	https://pay-navi.jp/	ファクタリング一括見積もりサービス。複数社への一括申請が可能。最短30分のスピード審査。60分で即日資金化対応。登録料・利用料無料。	一括申請・見積比較サービス	全国対応	法人・個人事業主
44	株式会社スマートバンク	ワンバンク請求書買取	https://onebank.jp/lp/factoring/	AI家計簿アプリ「ワンバンク」を運営するフィンテック企業による請求書買取サービス。手数料6%～。最短60分入金。完全オンライン完結。2025年3月開始の新サービス。	2社間ファクタリング、オンライン完結	全国対応（東京都に本社）	法人・個人事業主・フリーランス
45	株式会社SoKuMo	SoKuMo（ソクモ）	https://sokumo.jp/	AIファクタリングサービス。最短30分入金。買取額10万円～1億円。手数料1.0%～15.0%。オンライン完結型。	2社間ファクタリング、オンライン完結	全国対応（大阪府大阪市に本社）	法人・個人事業主（全業種）
46	株式会社ミラージュ	ファストファクタリング	https://www.and-factoring.com/	年間相談数3,000件以上。審査通過率95%以上。手数料2社間5%～、3社間1%～。買取額10万円～1億円。他社からの乗り換えに強み。	2社間・3社間ファクタリング、オンライン対応	全国対応（大阪府大阪市に本社）	法人・個人事業主（全業種）
47	株式会社ワイズコーポレーション	ファクターズ（Factors）	https://factorsplan.jp/	最短4時間入金。リピート率91.3%。買取額30万円～。初回契約は手数料以外の費用無料。現金受取にも対応（午前中申込の場合）。	2社間ファクタリング、対面・オンライン	全国対応（東京都豊島区に本社）	法人・個人事業主（全業種）
48	株式会社日本ビジネスリンクス（現: 株式会社JBL）	LINK（リンク）→ JBL	https://jbl-factoring.com/	東京都豊島区のオンライン完結型ファクタリング会社。社名変更によりLINKからJBLに一本化。	2社間ファクタリング、オンライン対応	全国対応（東京都豊島区に本社）	法人・個人事業主
49	リンクジャパン株式会社	リンクジャパン	https://link-japan.net/	福岡県北九州市の地域密着型ファクタリング会社。日本ファクタリング業協会会員。買取額50万円～1,000万円。手数料1.5%～。最短2日入金。	2社間・3社間ファクタリング	九州エリア中心（北九州市に本社）	法人・個人事業主（九州の事業者）
50	株式会社ウィット	うんそうくん	https://xn--p8ja1a6c3pd.com/	運送業界専門のファクタリングサービス。運送業特有の資金繰り課題に精通。建設業専門の「けんせつくん」と同じ運営会社。非対面・オンライン完結対応。	2社間ファクタリング（注文書対応あり）	全国対応（東京都品川区に本社）	運送業・配送業（法人・個人事業主）
